merchant_id,merchant_name,normalized_name,merchant_status,merchant_source,keyword_id,keyword,normalized_keyword,keyword_source,keyword_created_at,keyword_updated_at
355,Mainbrace Constructions,MAINBRACE CONSTRUCTIONS,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,633,Mainbrace Construction,MAINBRACE CONSTRUCTION,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
355,Mainbrace Constructions,MAINBRACE CONSTRUCTIONS,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,632,Mainbrace Constructions,MAINBRACE CONSTRUCTIONS,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
38,McDonald's,MCDONALD S,active,sample_verified,263,MC DONALD'S,MC DONALD S,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_005_merchant_verified.csv,2026-07-06T01:32:35+00:00,2026-07-06T01:32:35+00:00
38,McDonald's,MCDONALD S,active,sample_verified,264,MC DONALDS,MC DONALDS,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_005_merchant_verified.csv,2026-07-06T01:32:35+00:00,2026-07-06T01:32:35+00:00
38,McDonald's,MCDONALD S,active,sample_verified,245,Maccas,MACCAS,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_002_merchant_verified.csv,2026-07-06T01:32:02+00:00,2026-07-06T01:32:02+00:00
38,McDonald's,MCDONALD S,active,sample_verified,350,McD,MCD,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_008_merchant_verified.csv,2026-07-06T01:34:21+00:00,2026-07-06T01:34:21+00:00
38,McDonald's,MCDONALD S,active,sample_verified,60,McDonald's,MCDONALD S,sample_verified_standard_name,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
38,McDonald's,MCDONALD S,active,sample_verified,61,Mcdonald,MCDONALD,sample_verified,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
38,McDonald's,MCDONALD S,active,sample_verified,62,Mcdonalds,MCDONALDS,sample_verified,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
38,McDonald's,MCDONALD S,active,sample_verified,235,macca s,MACCA S,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_002_merchant_verified.csv,2026-07-06T01:32:01+00:00,2026-07-06T01:32:01+00:00
39,MedAdvisor,MEDADVISOR,active,sample_verified,63,MedAdvisor,MEDADVISOR,sample_verified_standard_name,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
266,Medibank,MEDIBANK,active,manual_review,523,MEDIBANK,MEDIBANK,manual_review,2026-07-06T05:54:33+00:00,2026-07-06T05:54:33+00:00
268,Menulog,MENULOG,active,manual_review,525,Menulog,MENULOG,manual_review,2026-07-06T05:55:16+00:00,2026-07-06T05:55:16+00:00
356,Metagenics Australia,METAGENICS AUSTRALIA,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,635,Metagenics,METAGENICS,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
356,Metagenics Australia,METAGENICS AUSTRALIA,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,634,Metagenics Australia,METAGENICS AUSTRALIA,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
163,Metro Petroleum,METRO PETROLEUM,active,manual_review,373,METRO PETROLEUM,METRO PETROLEUM,manual_review,2026-07-06T02:07:37+00:00,2026-07-06T02:07:37+00:00
40,Microsoft,MICROSOFT,active,sample_verified,306,MICROSOFT*3 MONTH SUBS 1000000001 74316015277,MICROSOFT 3 MONTH SUBS 1000000001 74316015277,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_006_merchant_verified.csv,2026-07-06T01:34:08+00:00,2026-07-06T01:34:08+00:00
40,Microsoft,MICROSOFT,active,sample_verified,300,MICROSOFT*365 MSBILL,MICROSOFT 365 MSBILL,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_006_merchant_verified.csv,2026-07-06T01:34:08+00:00,2026-07-06T01:34:08+00:00
40,Microsoft,MICROSOFT,active,sample_verified,280,MICROSOFT*ADS,MICROSOFT ADS,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_006_merchant_verified.csv,2026-07-06T01:34:08+00:00,2026-07-06T01:34:08+00:00
40,Microsoft,MICROSOFT,active,sample_verified,275,MICROSOFT*EA PLAY 1 MONTH,MICROSOFT EA PLAY 1 MONTH,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_006_merchant_verified.csv,2026-07-06T01:34:08+00:00,2026-07-06T01:34:08+00:00
40,Microsoft,MICROSOFT,active,sample_verified,302,MICROSOFT*FORTNITE CRE,MICROSOFT FORTNITE CRE,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_006_merchant_verified.csv,2026-07-06T01:34:08+00:00,2026-07-06T01:34:08+00:00
40,Microsoft,MICROSOFT,active,sample_verified,338,MICROSOFT*FORTNITE CRE 1000000001 74316015270,MICROSOFT FORTNITE CRE 1000000001 74316015270,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_006_merchant_verified.csv,2026-07-06T01:34:08+00:00,2026-07-06T01:34:08+00:00
